ID	adj.P.Val	P.Value	t	B	logFC	miRNA_ID	SPOT_ID	SPOT_ID.1
A_25_P00010643	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-601		
A_25_P00010668	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-662		
A_25_P00010688	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-498		
A_25_P00010694	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-512-5p		
A_25_P00010697	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-519e-5p		
A_25_P00010708	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-485-5p		
A_25_P00010710	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-512-3p		
A_25_P00010721	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-496		
A_25_P00010764	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-147a		
A_25_P00010770	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-195-5p		
A_25_P00010773	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-617		
A_25_P00010776	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-449b-5p		
A_25_P00010784	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-526b-3p		
A_25_P00010787	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-564		
A_25_P00010789	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-369-5p		
A_25_P00010795	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-421		
A_25_P00010800	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-663a		
A_25_P00010807	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-622		
A_25_P00010826	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-631		
A_25_P00010830	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-489-3p		
A_25_P00010842	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-373-5p		
A_25_P00010854	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-212-3p		
A_25_P00010878	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-191-3p		
A_25_P00010885	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-181a-3p		
A_25_P00010893	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-583		
A_25_P00010903	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-611		
A_25_P00010916	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-604		
A_25_P00010919	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-650		
A_25_P00010927	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-215-5p		
A_25_P00010934	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-568		
A_25_P00010944	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-567		
A_25_P00010954	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-363-3p		
A_25_P00010962	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-585-3p		
A_25_P00010968	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-182-3p		
A_25_P00010971	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-384		
A_25_P00010980	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-125b-5p		
A_25_P00010983	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-302a-3p		
A_25_P00010985	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-367-3p		
A_25_P00010987	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-375		
A_25_P00010994	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-645		
A_25_P00011003	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-9-5p		
A_25_P00011012	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-200a-5p		
A_25_P00011021	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-632		
A_25_P00011038	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-506-3p		
A_25_P00011058	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-598-3p		
A_25_P00011063	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-511-5p		
A_25_P00011084	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-431-5p		
A_25_P00011100	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-659-3p		
A_25_P00011110	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-424-5p		
A_25_P00011112	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-507		
A_25_P00011222	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-553		
A_25_P00011229	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-655-3p		
A_25_P00011233	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-769-3p		
A_25_P00011235	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-626		
A_25_P00011239	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-612		
A_25_P00011247	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-802		
A_25_P00011262	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-597-5p		
A_25_P00011302	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-767-3p		
A_25_P00011338	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-642a-5p		
A_25_P00011348	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-767-5p		
A_25_P00011371	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-647		
A_25_P00011391	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-562		
A_25_P00011449	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-607		
A_25_P00011458	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-566		
A_25_P00011481	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-552-3p		
A_25_P00011586	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-578		
A_25_P00011587	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-591		
A_25_P00011591	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-618		
A_25_P00011592	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-581		
A_25_P00011594	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-619-3p		
A_25_P00011595	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-561-3p		
A_25_P00011596	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-569		
A_25_P00011601	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-555		
A_25_P00011611	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-675-5p		
A_25_P00011613	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-596		
A_25_P00011614	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-580-3p		
A_25_P00011615	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-657		
A_25_P00011616	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-643		
A_25_P00011618	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-573		
A_25_P00011619	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-600		
A_25_P00011621	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-641		
A_25_P00011624	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-644a		
A_25_P00011628	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-613		
A_25_P00011629	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-563		
A_25_P00011634	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-588		
A_25_P00011638	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-551a		
A_25_P00011641	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-633		
A_25_P00011643	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-559		
A_25_P00011944	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-639		
A_25_P00011947	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-658		
A_25_P00011950	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-637		
A_25_P00011953	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-661		
A_25_P00011955	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-769-5p		
A_25_P00011963	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-646		
A_25_P00011967	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-635		
A_25_P00011969	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-758-3p		
A_25_P00011979	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-770-5p		
A_25_P00012009	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-28-3p		
A_25_P00012027	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-33a-5p		
A_25_P00012043	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-105-5p		
A_25_P00012053	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-196a-5p		
A_25_P00012059	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-198		
A_25_P00012074	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-139-3p		
A_25_P00012078	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-7-5p		
A_25_P00012083	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-10b-5p		
A_25_P00012095	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-182-5p		
A_25_P00012103	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-187-3p		
A_25_P00012107	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-214-3p		
A_25_P00012113	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-216a-5p		
A_25_P00012117	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-217		
A_25_P00012123	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-219a-1-3p		
A_25_P00012139	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-200b-3p		
A_25_P00012167	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-133a-3p		
A_25_P00012170	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-138-5p		
A_25_P00012184	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-143-3p		
A_25_P00012196	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-152-3p		
A_25_P00012200	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-153-3p		
A_25_P00012205	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-191-5p		
A_25_P00012221	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-127-5p		
A_25_P00012226	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-129-2-3p		
A_25_P00012235	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-149-5p		
A_25_P00012243	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-186-5p		
A_25_P00012258	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-193a-3p		
A_25_P00012266	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-200c-3p		
A_25_P00012279	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-219a-2-3p		
A_25_P00012282	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-34b-3p		
A_25_P00012289	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-34c-3p		
A_25_P00012297	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-296-3p		
A_25_P00012312	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-362-3p		
A_25_P00012320	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-370-3p		
A_25_P00012325	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-371a-5p		
A_25_P00012348	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-330-5p		
A_25_P00012354	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-342-5p		
A_25_P00012362	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-337-5p		
A_25_P00012367	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-337-3p		
A_25_P00012371	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-323a-5p		
A_25_P00012383	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-135b-5p		
A_25_P00012401	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-339-5p		
A_25_P00012409	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-345-5p		
A_25_P00012412	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-196b-5p		
A_25_P00012417	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-422a		
A_25_P00012437	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-450a-5p		
A_25_P00012443	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-323b-5p		
A_25_P00012455	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-409-5p		
A_25_P00012472	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-488-3p		
A_25_P00012477	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-490-5p		
A_25_P00012483	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-491-5p		
A_25_P00012487	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-491-3p		
A_25_P00012493	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-146b-3p		
A_25_P00012501	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-493-3p		
A_25_P00012512	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-193b-3p		
A_25_P00012520	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-515-3p		
A_25_P00012525	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-519e-3p		
A_25_P00012540	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-526b-5p		
A_25_P00012543	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-519b-3p		
A_25_P00012550	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-525-3p		
A_25_P00012560	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-518c-5p		
A_25_P00012563	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-520c-3p		
A_25_P00012567	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-518c-3p		
A_25_P00012576	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-517a-3p		
A_25_P00012585	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-518a-5p		
A_25_P00012596	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-518e-3p		
A_25_P00012611	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-522-3p		
A_25_P00012625	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-499a-5p		
A_25_P00012629	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-499a-3p		
A_25_P00012633	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-500a-5p		
A_25_P00012641	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-501-3p		
A_25_P00012651	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-504-5p		
A_25_P00012663	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-513a-3p		
A_25_P00012667	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-508-5p		
A_25_P00012678	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-509-3p		
A_25_P00012682	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-510-5p		
A_25_P00012685	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-514a-3p		
A_25_P00012692	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-532-3p		
A_25_P00012698	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-455-3p		
A_25_P00012702	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-544a		
A_25_P00012710	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-92b-3p		
A_25_P00012714	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-556-5p		
A_25_P00012718	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-556-3p		
A_25_P00012722	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-570-3p		
A_25_P00012734	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-576-5p		
A_25_P00012738	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-576-3p		
A_25_P00012742	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-579-3p		
A_25_P00012756	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-548b-5p		
A_25_P00012764	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-589-5p		
A_25_P00012768	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-550a-5p		
A_25_P00012775	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-590-3p		
A_25_P00012787	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-615-5p		
A_25_P00012795	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-616-3p		
A_25_P00012807	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-624-3p		
A_25_P00012815	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-628-5p		
A_25_P00012819	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-628-3p		
A_25_P00012823	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-629-5p		
A_25_P00012827	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-33b-5p		
A_25_P00012831	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-636		
A_25_P00012847	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-653-5p		
A_25_P00012859	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-542-5p		
A_25_P00012867	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-671-3p		
A_25_P00012871	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-454-3p		
A_25_P00012879	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-298		
A_25_P00012882	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-891a-5p		
A_25_P00012903	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-892a		
A_25_P00012911	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-450b-5p		
A_25_P00012915	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-450b-3p		
A_25_P00012919	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-874-3p		
A_25_P00012923	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-890		
A_25_P00012927	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-891b		
A_25_P00012939	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-888-5p		
A_25_P00012943	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-892b		
A_25_P00012947	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-541-3p		
A_25_P00012951	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-889-3p		
A_25_P00012959	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-875-3p		
A_25_P00012967	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-876-3p		
A_25_P00012971	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-708-5p		
A_25_P00012975	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-147b		
A_25_P00012979	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-190b		
A_25_P00012999	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-877-5p		
A_25_P00013003	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-887-3p		
A_25_P00013007	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-665		
A_25_P00013011	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-873-5p		
A_25_P00013031	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-216b-5p		
A_25_P00013039	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-920		
A_25_P00013043	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-921		
A_25_P00013047	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-922		
A_25_P00013067	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-934		
A_25_P00013071	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-935		
A_25_P00013075	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-936		
A_25_P00013083	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-938		
A_25_P00013099	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-942-5p		
A_25_P00013103	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-943		
A_25_P00013107	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-944		
A_25_P00013119	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-let-7b-3p		
A_25_P00013135	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-let-7f-1-3p		
A_25_P00013139	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-let-7f-2-3p		
A_25_P00013147	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-16-1-3p		
A_25_P00013151	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-17-3p		
A_25_P00013155	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-18a-3p		
A_25_P00013163	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-19b-1-5p		
A_25_P00013167	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-19b-2-5p		
A_25_P00013171	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-20a-3p		
A_25_P00013178	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-22-5p		
A_25_P00013183	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-23a-5p		
A_25_P00013189	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-24-2-5p		
A_25_P00013193	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-25-5p		
A_25_P00013197	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-26a-1-3p		
A_25_P00013201	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-26b-3p		
A_25_P00013205	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-27a-5p		
A_25_P00013209	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-29a-5p		
A_25_P00013215	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-31-3p		
A_25_P00013223	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-33a-3p		
A_25_P00013227	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-92a-1-5p		
A_25_P00013235	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-93-3p		
A_25_P00013239	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-96-3p		
A_25_P00013243	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-99a-3p		
A_25_P00013247	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-100-3p		
A_25_P00013259	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-29b-2-5p		
A_25_P00013263	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-105-3p		
A_25_P00013267	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-106a-3p		
A_25_P00013277	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-129-1-3p		
A_25_P00013283	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-148a-5p		
A_25_P00013287	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-30c-2-3p		
A_25_P00013291	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-30d-3p		
A_25_P00013295	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-7-1-3p		
A_25_P00013299	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-7-2-3p		
A_25_P00013303	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-10a-3p		
