ID	adj.P.Val	P.Value	t	B	logFC	miRNA_ID	SPOT_ID	SPOT_ID.1
A_25_P00016353	0.0029377	5.33E-04	-3.7646	-0.2545	-2.6215	hsa-miR-4704-5p		
A_25_P00017928	0.0029377	5.34E-04	-3.7646	-0.25467	-2.622	hsa-miR-6133		
A_25_P00012995	0.0029377	5.34E-04	-3.7642	-0.25569	-2.6252	hsa-miR-885-3p		
A_25_P00018236	0.0029377	5.36E-04	-3.7631	-0.25851	-2.6325	hsa-miR-6796-5p		
A_25_P00018922	0.0029377	5.37E-04	-3.7626	-0.25979	-2.6354	hsa-miR-6792-5p		
A_25_P00017926	0.0029377	5.39E-04	-3.761	-0.26418	-2.55	hsa-miR-6509-5p		
A_25_P00016501	0.0029377	5.40E-04	-3.7602	-0.26632	-2.6478	hsa-miR-4717-3p		
A_25_P00018968	0.0029377	5.43E-04	-3.7586	-0.27063	-2.6546	hsa-miR-6754-5p		
A_25_P00016281	0.0029377	5.43E-04	-3.7585	-0.27098	-2.6552	hsa-miR-4456		
A_25_P00017624	0.0029377	5.44E-04	-3.7581	-0.27201	-2.5384	hsa-miR-548aq-5p		
A_25_P00017869	0.0029377	5.44E-04	-3.7578	-0.2727	-2.6577	hsa-miR-548az-5p		
A_25_P00013382	0.0029377	5.45E-04	-3.7571	-0.27462	-2.6604	hsa-miR-30b-3p		
A_25_P00018199	0.0029377	5.47E-04	-3.7563	-0.27695	-2.6635	hsa-miR-6825-5p		
A_25_P00017196	0.0029377	5.47E-04	-3.7562	-0.2771	-2.6637	hsa-miR-4486		
A_25_P00012791	0.0029377	5.59E-04	-3.7488	-0.29691	-2.5119	hsa-miR-615-3p		
A_25_P00013079	0.0029377	5.59E-04	-3.7488	-0.29691	-2.5119	hsa-miR-937-3p		
A_25_P00016975	0.0029377	5.61E-04	-3.7478	-0.2997	-3.3319	hsa-miR-4436b-5p		
A_25_P00017339	0.0029377	5.64E-04	-3.7456	-0.30564	-2.6949	hsa-miR-5007-5p		
A_25_P00012254	0.0029377	5.68E-04	-3.7436	-0.31098	-2.6999	hsa-miR-193a-5p		
A_25_P00011018	0.0029377	5.76E-04	-3.7383	-0.3251	-2.712	hsa-miR-136-5p		
A_25_P00018705	0.0029377	5.77E-04	-3.7378	-0.32634	-3.3555	hsa-miR-6847-3p		
A_25_P00015177	0.0029377	5.81E-04	-3.7356	-0.33232	-2.7178	hsa-miR-1261		
A_25_P00015299	0.0029377	5.93E-04	-3.7289	-0.35037	-2.7315	hsa-miR-1909-5p		
A_25_P00017268	0.0029377	5.93E-04	-3.7288	-0.35068	-2.7317	hsa-miR-4690-5p		
A_25_P00012216	0.0029377	5.98E-04	3.7258	-0.35871	3.8595	hsa-miR-126-3p		
A_25_P00016266	0.0029377	5.98E-04	-3.7256	-0.35901	-2.7377	hsa-miR-3907		
A_25_P00015382	0.0029377	6.01E-04	-3.7242	-0.36275	-2.7403	hsa-miR-205-3p		
A_25_P00013255	0.0029377	6.06E-04	-3.7211	-0.37102	-3.2036	hsa-miR-29b-1-5p		
A_25_P00016319	0.0029377	6.07E-04	-3.7209	-0.37162	-2.7463	hsa-miR-4510		
A_25_P00012799	0.0029377	6.09E-04	-3.7197	-0.37492	-2.7485	hsa-miR-548am-5p		
A_25_P00017494	0.0029377	6.15E-04	-3.7161	-0.38454	-2.7548	hsa-miR-5698		
A_25_P00016538	0.0029377	6.27E-04	-3.7096	-0.402	-2.7657	hsa-miR-4711-3p		
